img_number,date_posted,time_posted,day_of_week,num_people,includes_me,portrait_v_landscape,num_likes
1,06-29-2016,3:35 AM,wednesday,1,0,portrait,7
2,06-18-2016,23:44,saturday,3,1,portrait,24
3,06-12-2016,13:22,sunday,2,1,landscape,35
4,06-05-2016,19:12,sunday,2,1,portrait,21
5,06-02-2016,3:21,thursday,2,1,portrait,24
6,05-30-2016,20:25,monday,1,0,portriat,12
7,05-30-2016,18:14,monday,0,0,portrait,7
8,05-28-2016,12:02,saturday,2,1,portrait,54
9,05-26-2016,33:29:00,thursday,0,0,landscape,18
10,05-23-2016,3:55,monday,1,0,landscape,17
11,05-19-2016,3:27,thursday,0,0,portrait,14
12,05-15-2016,20:20,sunday,0,0,landscape,24
13,04-28-2016,15:29,thursday,1,0,portrait,9
14,04-24-2016,19:59,sunday,3,1,portrait,14
15,04-22-2016,17:45,friday,0,0,landscape,23
16,04-17-2016,4:19,sunday,4,1,portrait,34
17,04-14-2016,17:35,thursday,2,1,portrait,28
18,04-06-2016,3:24,wednesday,0,0,portrait,18
19,03-30-2016,23:05,wednesday,0,0,portrait,12
20,03-28-2016,14:08,monday,0,0,portrait,11
21,03-26-2016,19:27,saturday,0,0,portrait,21
22,03-17-2016,21:48,thursday,2,1,portrait,15
23,03-15-2016,13:34,tuesday,0,0,landscape,26
24,03-10-2016,19:55,thursday,2,1,portrait,26
25,03-09-2016,3:24,wednesady,0,0,landscape,26
26,03-06-2016,19:13,sunday,0,0,landscape,10
27,03-05-2016,1:30,saturday,0,0,portrait,18
28,02-27-2016,23:40,saturday,0,0,portrait,15
29,02-26-2016,17:14,friday,0,0,portrait,19
30,02-21-2016,0:41,sunday,4,1,portrait,30
31,02-19-2016,18:41,friday,0,0,portrait,18
32,02-15-2016,3:32,monday,1,0,landscape,21
33,02-11-2016,14:03,thursday,2,0,landscape,24
34,02-06-2016,22:33,saturday,1,1,portrait,27
35,02-06-2016,19:38,saturday,0,0,portrait,18
36,02-05-2016,2:32,friday,0,0,portrait,19
37,01-22-2016,14:02,friday,3,1,portrait,20
38,01-18-2016,23:13,monday,0,0,portrait,16
39,01-16-2016,0:48,saturday,1,0,portrait,13
40,01-10-2016,19:17,sunday,1,0,portrait,17
41,01-09-2016,0:25,saturday,1,0,landscape,16
42,01-04-2016,7:02,monday,2,0,portrait,17
43,01-02-2016,17:23,saturday,5,1,portrait,18
44,12-29-2015,7:16,tueday,2,1,portrait,19
45,12-27-2015,17:49,sunday,4,1,portrait,12
46,12-24-2015,22:48,tuesday,5,1,portrait,16
47,12-23-2015,21:58,wednesday,0,0,landscape,10
48,12-22-2015,15:02,tuesday,0,0,portrait,8
49,12-21-2015,17:40,monday,0,0,landscape,12
50,12-20-2015,23:17,sunday,2,1,portrait,16
51,12-13-2015,1:15,sunday,1,1,portrait,38
52,12-06-2015,8:49,sunday,0,0,portrait,7
53,12-05-2015,20:44,saturday,0,0,portrait,10
54,12-01-2015,3:22,tuesday,0,0,portrait,9
55,11-27-2015,23:34,friday,0,0,landscape,6
56,11-26-2015,20:18,thursday,0,0,portrait,17
57,11-09-2015,21:22,monday,0,0,landscape,8
58,11-08,6:21,sunday,3,1,portrait,20
59,11-08-2015,6:20,sunday,2,1,portrait,15
60,10-31-2015,18:24,saturday,0,0,portrait,7